Economy,Year,Score-Starting a business
Afghanistan,DB2018,82.6
Afghanistan,DB2017,90.4
Afghanistan,DB2016,90.5
Afghanistan,DB2015,91
Afghanistan,DB2014,91.6
Afghanistan,DB2013,88.3
Afghanistan,DB2012,87.9
Afghanistan,DB2011,87.8
Afghanistan,DB2010,87.3
Afghanistan,DB2009,83.4
Afghanistan,DB2008,80.3
Albania,DB2018,91.5
Albania,DB2017,91.4
Albania,DB2016,91.7
Albania,DB2015,91.7
Albania,DB2014,90.3
Albania,DB2013,90.2
Albania,DB2012,87.6
Albania,DB2011,87.3
Albania,DB2010,87.2
Albania,DB2009,82
Albania,DB2008,68.2
Algeria,DB2018,77.9
Algeria,DB2017,78
Algeria,DB2016,76.6
Algeria,DB2015,74.6
Algeria,DB2014,73.6
Algeria,DB2013,73.7
Algeria,DB2012,73.5
Algeria,DB2011,73.2
Algeria,DB2010,73.5
Algeria,DB2009,73.3
Algeria,DB2008,72.5
Angola,DB2018,78.6
Angola,DB2017,79.7
Angola,DB2016,77.5
Angola,DB2015,57.1
Angola,DB2014,55.6
Angola,DB2013,53.8
Angola,DB2012,51.3
Angola,DB2011,46.5
Angola,DB2010,52
Angola,DB2009,45.7
Angola,DB2008,34.9
Antigua and Barbuda,DB2018,81.7
Antigua and Barbuda,DB2017,81.7
Antigua and Barbuda,DB2016,81.7
Antigua and Barbuda,DB2015,81.6
Antigua and Barbuda,DB2014,81.6
Antigua and Barbuda,DB2013,81.5
Antigua and Barbuda,DB2012,81.3
Antigua and Barbuda,DB2011,81.5
Antigua and Barbuda,DB2010,81.7
Antigua and Barbuda,DB2009,81.4
Antigua and Barbuda,DB2008,81.4
Argentina,DB2018,73.6
Argentina,DB2017,73.5
Argentina,DB2016,73.3
Argentina,DB2015,72.4
Argentina,DB2014,71.6
Argentina,DB2013,72.6
Argentina,DB2012,72.2
Argentina,DB2011,71.7
Argentina,DB2010,72.1
Argentina,DB2009,71.1
Argentina,DB2008,72.4
Armenia,DB2018,94.3
Armenia,DB2017,94.3
Armenia,DB2016,94.3
Armenia,DB2015,94.3
Armenia,DB2014,94.3
Armenia,DB2013,93.4
Armenia,DB2012,93.3
Armenia,DB2011,88.9
Armenia,DB2010,88.9
Armenia,DB2009,83.5
Armenia,DB2008,83.3
Australia,DB2018,96.5
Australia,DB2017,96.5
Australia,DB2016,96.5
Australia,DB2015,96.5
Australia,DB2014,96.5
Australia,DB2013,96.5
Australia,DB2012,96.5
Australia,DB2011,96.5
Australia,DB2010,96.5
Australia,DB2009,96.5
Australia,DB2008,96.3
Austria,DB2018,83.1
Austria,DB2017,83.1
Austria,DB2016,82.8
Austria,DB2015,82.8
Austria,DB2014,80
Austria,DB2013,79.9
Austria,DB2012,79.6
Austria,DB2011,79.6
Austria,DB2010,79.7
Austria,DB2009,79.6
Austria,DB2008,79.4
Azerbaijan,DB2018,96.1
Azerbaijan,DB2017,96.1
Azerbaijan,DB2016,96.1
Azerbaijan,DB2015,93.9
Azerbaijan,DB2014,95.3
Azerbaijan,DB2013,90.5
Azerbaijan,DB2012,90.4
Azerbaijan,DB2011,90.4
Azerbaijan,DB2010,89.9
Azerbaijan,DB2009,89.7
Azerbaijan,DB2008,74
"Bahamas, The",DB2018,84.2
"Bahamas, The",DB2017,82.7
"Bahamas, The",DB2016,81.3
"Bahamas, The",DB2015,84.1
"Bahamas, The",DB2014,84.1
"Bahamas, The",DB2013,84.1
"Bahamas, The",DB2012,84.1
"Bahamas, The",DB2011,84.1
"Bahamas, The",DB2010,82.6
"Bahamas, The",DB2009,82.4
"Bahamas, The",DB2008,82.4
Bahrain,DB2018,89.6
Bahrain,DB2017,89.5
Bahrain,DB2016,76.2
Bahrain,DB2015,76.1
Bahrain,DB2014,73.9
Bahrain,DB2013,73.7
Bahrain,DB2012,71.8
Bahrain,DB2011,74.2
Bahrain,DB2010,75.9
Bahrain,DB2009,75
Bahrain,DB2008,72.1
Bangladesh,DB2018,80.6
Bangladesh,DB2017,81.5
Bangladesh,DB2016,81.7
Bangladesh,DB2015,81.4
Bangladesh,DB2014,80.5
Bangladesh,DB2013,
Bangladesh,DB2012,
Bangladesh,DB2011,
Bangladesh,DB2010,
Bangladesh,DB2009,
Bangladesh,DB2008,
Bangladesh - Chittagong,DB2018,80.6
Bangladesh - Chittagong,DB2017,81.5
Bangladesh - Chittagong,DB2016,81.7
Bangladesh - Chittagong,DB2015,81.4
Bangladesh - Chittagong,DB2014,81.1
Bangladesh - Chittagong,DB2013,
Bangladesh - Chittagong,DB2012,
Bangladesh - Chittagong,DB2011,
Bangladesh - Chittagong,DB2010,
Bangladesh - Chittagong,DB2009,
Bangladesh - Chittagong,DB2008,
Bangladesh - Dhaka,DB2018,80.6
Bangladesh - Dhaka,DB2017,81.5
Bangladesh - Dhaka,DB2016,81.7
Bangladesh - Dhaka,DB2015,81.4
Bangladesh - Dhaka,DB2014,80.3
Bangladesh - Dhaka,DB2013,79
Bangladesh - Dhaka,DB2012,79
Bangladesh - Dhaka,DB2011,78.8
Bangladesh - Dhaka,DB2010,73.6
Bangladesh - Dhaka,DB2009,68.2
Bangladesh - Dhaka,DB2008,63.9
Barbados,DB2018,86.3
Barbados,DB2017,86.3
Barbados,DB2016,85.6
Barbados,DB2015,85.6
Barbados,DB2014,84.4
Barbados,DB2013,84.4
Barbados,DB2012,84.4
Barbados,DB2011,
Barbados,DB2010,
Barbados,DB2009,
Barbados,DB2008,
Belarus,DB2018,91.9
Belarus,DB2017,91.9
Belarus,DB2016,91.9
Belarus,DB2015,89.6
Belarus,DB2014,89.6
Belarus,DB2013,87.7
